# balticporter port map	schema=4	module=sge-ai-test	engine=balticporter/0.1.0-SNAPSHOT	sources=430a6fde5872b03a	files=2	policy=ef7dbe444cd68377	jdk=22
#kind	upstream	emitted	disposition	body	javaPath	javaLine	digest	shape
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#<stmt1>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#<stmt1>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	390	23212f88b02e07f3	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#<stmt2>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#<stmt2>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	391	b45e24226d307d16	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#factory	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#factory	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	387	18da954916f1480f	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#getConnections(MyNode)	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#getConnections(MyNode)	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	395	c7a8acba4698865e	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#getIndex(MyNode)	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#getIndex(MyNode)	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	408	f13de031455deb22	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#graph	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#graph	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	386	4b0ee322618cad66	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#getNodeCount()	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyDynamicGraph#nodeCount()	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	413	9170e7cc29fa3cd3	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#<stmt1>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#<stmt1>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	356	01308a65c96d388f	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#getConnections(MyNode)	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#getConnections(MyNode)	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	365	9b064c744a3f1015	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#getIndex(MyNode)	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#getIndex(MyNode)	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	360	2fd99986fac0dad0	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#getNodeCount()	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#nodeCount()	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	370	b3e2de18cb4adb9f	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#nodes	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyGraph#nodes	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	353	01418dbbcb0c12e3	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#<stmt1>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#<stmt1>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	314	ed84d54914db9b20	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#<stmt2>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#<stmt2>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	315	2c6f9558e98e88ba	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#<stmt3>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#<stmt3>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	316	f31e0f9cd77a7e56	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#<stmt4>	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#<stmt4>	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	317	a2c94b5abbb41538	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#getConnections	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#connections	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	311	7840c2d674cb97c9	name=connections$field
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#getConnections()	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#connections()	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	324	b2bb58a8785f5c4a	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#getIndex	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#index	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	308	ed736e99f1cb99af	name=index$field
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#getIndex()	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#index()	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	320	10728815ffe3e7c6	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#toString()	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#toString()	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	329	1fda98f45c08121e	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#x	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#x	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	309	ec288e09c075be2c	
member	com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#y	sge.ai.pfa.indexed.IndexedAStarPathFinderTest$MyNode#y	Renamed	-	com/badlogic/gdx/ai/pfa/indexed/IndexedAStarPathFinderTest.java	310	34890d2c45697aec	
