#id	check	kind	owner	path	line	detail
a8ec7ba37c1e	portability(emitted)	java.nio.channels.FileChannel$MapMode	@178#map(java.nio.channels.FileChannel$MapMode)#mode	../src/com/badlogic/gdx/files/FileHandle.java	275	MemberType — NIO channels are JVM-only
9af05d21d723	portability(emitted)	java.nio.channels.FileChannel$MapMode	com.badlogic.gdx.files.FileHandle#map	../src/com/badlogic/gdx/files/FileHandle.java	269	TermRef — NIO channels are JVM-only
9af05d21d723/2	portability(emitted)	java.nio.channels.FileChannel$MapMode	com.badlogic.gdx.files.FileHandle#map	../src/com/badlogic/gdx/files/FileHandle.java	280	TermRef — NIO channels are JVM-only
06e1b794e755	portability(emitted)	java.util.concurrent.Callable	com.badlogic.gdx.utils.async.AsyncExecutor#submit	../src/com/badlogic/gdx/utils/async/AsyncExecutor.java	61	Tycon — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
9b5d7142873a	portability(emitted)	java.util.concurrent.ExecutionException	ex	../src/com/badlogic/gdx/utils/async/AsyncResult.java	45	MemberType — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
460b7d83df5e	portability(emitted)	java.util.concurrent.ExecutorService	com.badlogic.gdx.utils.async.AsyncExecutor#executor	../src/com/badlogic/gdx/utils/async/AsyncExecutor.java	33	MemberType — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
a2ec0500632f	portability(emitted)	java.util.concurrent.Executors	com.badlogic.gdx.utils.async.AsyncExecutor#<init>	../src/com/badlogic/gdx/utils/async/AsyncExecutor.java	44	TermRef — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
1e8e600f66ef	portability(emitted)	java.util.concurrent.Future	@1226#<init>(java.util.concurrent.Future)#future	../src/com/badlogic/gdx/utils/async/AsyncResult.java	29	Tycon — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
714cf3fb9c56	portability(emitted)	java.util.concurrent.Future	com.badlogic.gdx.utils.async.AsyncResult#future	../src/com/badlogic/gdx/utils/async/AsyncResult.java	27	Tycon — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
252613c537ee	portability(emitted)	java.util.concurrent.ThreadFactory	com.badlogic.gdx.utils.async.AsyncExecutor#<init>	../src/com/badlogic/gdx/utils/async/AsyncExecutor.java	44	Instantiate — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
bf831feaf2d9	portability(emitted)	java.util.concurrent.TimeUnit	com.badlogic.gdx.utils.async.AsyncExecutor#dispose	../src/com/badlogic/gdx/utils/async/AsyncExecutor.java	75	TermRef — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
cfb21086685b	portability(emitted)	java.util.concurrent.atomic.AtomicInteger	com.badlogic.gdx.utils.AtomicQueue#readIndex	../src/com/badlogic/gdx/utils/AtomicQueue.java	33	Instantiate — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
145265156337	portability(emitted)	java.util.concurrent.atomic.AtomicInteger	com.badlogic.gdx.utils.AtomicQueue#readIndex	../src/com/badlogic/gdx/utils/AtomicQueue.java	33	MemberType — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
cdfc430596a1	portability(emitted)	java.util.concurrent.atomic.AtomicInteger	com.badlogic.gdx.utils.AtomicQueue#writeIndex	../src/com/badlogic/gdx/utils/AtomicQueue.java	32	Instantiate — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
18ffd82b8d23	portability(emitted)	java.util.concurrent.atomic.AtomicInteger	com.badlogic.gdx.utils.AtomicQueue#writeIndex	../src/com/badlogic/gdx/utils/AtomicQueue.java	32	MemberType — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
94742a042326	portability(emitted)	java.util.concurrent.atomic.AtomicReferenceArray	com.badlogic.gdx.utils.AtomicQueue#<init>	../src/com/badlogic/gdx/utils/AtomicQueue.java	37	Tycon — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
94742a042326/2	portability(emitted)	java.util.concurrent.atomic.AtomicReferenceArray	com.badlogic.gdx.utils.AtomicQueue#<init>	../src/com/badlogic/gdx/utils/AtomicQueue.java	37	Tycon — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
438a0d686b26	portability(emitted)	java.util.concurrent.atomic.AtomicReferenceArray	com.badlogic.gdx.utils.AtomicQueue#queue	../src/com/badlogic/gdx/utils/AtomicQueue.java	34	Tycon — the java.util.concurrent runtime is JVM-only (Scala.js is single-threaded)
38b326e78bab	portability(emitted)	java.util.zip.CRC32	@6469#<init>(java.io.ByteArrayOutputStream,java.util.zip.CRC32)#crc	../src/com/badlogic/gdx/graphics/PixmapIO.java	333	MemberType — java.util.zip is JVM-only
9b30bf292181	portability(emitted)	java.util.zip.CRC32	com.badlogic.gdx.graphics.PixmapIO$PNG$ChunkBuffer#<init>	../src/com/badlogic/gdx/graphics/PixmapIO.java	330	Instantiate — java.util.zip is JVM-only
1364a0b27279	portability(emitted)	java.util.zip.CRC32	com.badlogic.gdx.graphics.PixmapIO$PNG$ChunkBuffer#crc	../src/com/badlogic/gdx/graphics/PixmapIO.java	327	MemberType — java.util.zip is JVM-only
179515b8ef6e	portability(emitted)	java.util.zip.CheckedOutputStream	com.badlogic.gdx.graphics.PixmapIO$PNG$ChunkBuffer#<init>	../src/com/badlogic/gdx/graphics/PixmapIO.java	334	Instantiate — java.util.zip is JVM-only
b63ad8f2b226	portability(emitted)	java.util.zip.Deflater	com.badlogic.gdx.graphics.PixmapIO#writePNG	../src/com/badlogic/gdx/graphics/PixmapIO.java	80	TermRef — java.util.zip is JVM-only
f7f2a34452cd	portability(emitted)	java.util.zip.Deflater	com.badlogic.gdx.graphics.PixmapIO$PNG#<init>	../src/com/badlogic/gdx/graphics/PixmapIO.java	205	Instantiate — java.util.zip is JVM-only
