#unit	member	kind	digest
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#bufferRenderer	val	465069bf751c5f18
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#bufferRenderer()	def	88b1fe2955f18549
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#bufferWidth	val	acff4c91374b891b
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#bufferWidth()	def	37b7744202692de9
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#close()	def	e6f88f3669aabc8e
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#pixelFormat	val	6dc09ff804b3c914
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#pixelFormat()	def	28cf8dbc57a14208
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#rebind()	def	26cf1aba42a245d7
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#resize(int,int)	def	4662bfc0e54a590f
sge.vfx.VfxRenderContext	sge.vfx.VfxRenderContext#viewportMesh()	def	0503966827cc4ae7
sge.vfx.effects.AbstractVfxEffect	sge.vfx.effects.AbstractVfxEffect	class	9e2fa3432851a139
sge.vfx.effects.AbstractVfxEffect	sge.vfx.effects.AbstractVfxEffect#disabled	val	d6693691e13a617b
sge.vfx.effects.AbstractVfxEffect	sge.vfx.effects.AbstractVfxEffect#disabled()	def	8efd3c6035cdc391
sge.vfx.effects.AbstractVfxEffect	sge.vfx.effects.AbstractVfxEffect#disabled_=(boolean)	def	00a8e1185adf05c8
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect	class	511771f10c746813
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#<init>(Sge)	ctor	048f21105a4b4bfc
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#<stmt1>	stmt	e7c44752ae78e8b0
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#<stmt2>	stmt	6ff1f1a972eb0d25
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#<stmt3>	stmt	9d7fd82230a90975
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#<stmt4>	stmt	95fccfcaf6d5a762
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#<stmt5>	stmt	e440bd3e02ae233f
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#applySettings(Settings)	def	c51f02544cfad2cd
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#baseIntensity()	def	f58a246cbe0fff01
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#baseIntensity_=(float)	def	13d4bcc2cb06422d
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#baseSaturation()	def	723f34571fc7de12
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#baseSaturation_=(float)	def	4f40a317bdf9a0fe
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blending	val	a435e72b894d0a08
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blendingDestFactor()	def	4842a5bf51a2d68f
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blendingEnabled()	def	2888ff8cf8a5c270
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blendingSourceFactor()	def	b04a9c048ba3c664
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#bloomIntensity()	def	fdb7b2edea7702b4
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#bloomIntensity_=(float)	def	61a64bea1a590c58
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#bloomSaturation()	def	7bec8a1f5e189b63
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#bloomSaturation_=(float)	def	cfab8812143f6f8a
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blur	val	dbbb74b91939cd52
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blurAmount()	def	5c2280b1f342859c
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blurAmount_=(float)	def	217b26fcfb495f05
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blurPasses()	def	87bdac6ff0f67f84
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blurPasses_=(int)	def	52bcbbdf8a8858f7
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blurType()	def	c83b32b181151531
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#blurType_=(BlurType)	def	9dea9a28b337601a
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#combine	val	20c17d6012f71ce9
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#copy	val	f19f466ea172f1c7
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#dfactor	val	0cfab57ac618d912
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#disableBlending()	def	4c7fb0de422c8976
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#enableBlending(int,int)	def	00a98272438c74cc
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#render(VfxRenderContext,VfxPingPongWrapper)	def	9f38a2441b33deb8
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#sfactor	val	189a9a63de135833
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#threshold	val	eed914d0680bfa73
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#threshold()	def	0c1a7764af24b6d1
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect#threshold_=(float)	def	4fc34f8b37baaccf
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings	class	1abc1d9903d4f1fa
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#<init>(BlurType,int,float,float,float,float,float,float)	ctor	43a92980582feed6
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#<init>(Settings)	ctor	b7ac23c86c62deac
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#<init>(int,float,float,float,float,float)	ctor	e7b4557f6d938ac6
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#baseIntensity	val	c7bef6c008ec15b1
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#baseSaturation	val	66bbf04b5116d1da
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#bloomIntensity	val	833345ee4fec60a1
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#bloomSaturation	val	46c3e0fdfe7795ff
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#bloomThreshold	val	9852fde045c37d5e
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#blurAmount	val	1a62e9204339a661
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#blurPasses	val	5769b817cb9a1612
sge.vfx.effects.BloomEffect	sge.vfx.effects.BloomEffect$Settings#blurType	val	488c677b766865de
sge.vfx.effects.ChainVfxEffect	sge.vfx.effects.ChainVfxEffect	class	80c9f78b3d80da9b
sge.vfx.effects.ChainVfxEffect	sge.vfx.effects.ChainVfxEffect#render(VfxRenderContext,VfxPingPongWrapper)	def	742d2daa41e91ad2
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect	class	e325b65203063047
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#<stmt1>	stmt	5e3db9e8fb1acb4f
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#U_MAX_DISTORTION	val	368fb6a6c06041f8
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#U_TEXTURE0	val	84c2b4ea4638c1a2
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#maxDistortion	val	6cadfbca481b0ef1
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#maxDistortion()	def	f59241ad158e1ffe
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#maxDistortion_=(float)	def	950451f216927e42
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#rebind()	def	5ef29856b29138a4
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#render(VfxRenderContext,VfxFrameBuffer,VfxFrameBuffer)	def	db182fee83854ba9
sge.vfx.effects.ChromaticAberrationEffect	sge.vfx.effects.ChromaticAberrationEffect#render(VfxRenderContext,VfxPingPongWrapper)	def	02818914ebf06f32
sge.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect	class	d8aef332d12525d2
sge.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect#close()	def	bc503261823073bb
sge.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect#managedEffects	val	34d22392ff3cc357
sge.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect#rebind()	def	2a7796bf530cf273
sge.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect#register(T)	def	b5a363d742907f74
sge.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect#resize(int,int)	def	38aea77ea2535500
sge.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect#unregister(T)	def	8e93cb1c5abf512f
sge.vfx.effects.CompositeVfxEffect	sge.vfx.effects.CompositeVfxEffect#update(float)	def	45b3cfb12733a027
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect	class	e22e436136f5ce06
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#<init>(Sge)	ctor	6a98f253e98b7353
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#<stmt1>	stmt	5e3db9e8fb1acb4f
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#U_RESOLUTION	val	eb3ba9546b3ccb97
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#U_TEXTURE0	val	84c2b4ea4638c1a2
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#rebind()	def	cfe325b53ef1a57a
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#render(VfxRenderContext,VfxFrameBuffer,VfxFrameBuffer)	def	db182fee83854ba9
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#render(VfxRenderContext,VfxPingPongWrapper)	def	02818914ebf06f32
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#resize(int,int)	def	d433a05f4050e079
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#sizeSource	val	b042b5032aeffd54
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#sizeSource()	def	5bc9e69c3e068298
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#sizeSource_=(SizeSource)	def	edca62956d5202c2
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#tmpVec	val	c9749fd589e3eb7d
sge.vfx.effects.CrtEffect	sge.vfx.effects.CrtEffect#viewportSize	val	e28570e3eadc9bf5
